experiment,variant,phase,runner,runner_code,parent_variant,created_at,started_at,completed_at,queue_seconds,execution_seconds,total_seconds,status
3,v7_3301,f07_modval,ESP32-v1,0,v6_0001,2026-06-18T07:58:43.993096+00:00,2026-06-18T07:58:53.762723+00:00,2026-06-18T10:35:49.667118+00:00,9,9415,9425,success
3,v7_3102,f07_modval,Local,1,v6_0001,2026-06-18T10:20:38.156044+00:00,2026-06-18T10:20:38.205464+00:00,2026-06-18T10:51:14.871016+00:00,0,1836,1836,success
3,v8_3301,f08_sysval,ESP32-v1,0,v7_3301,2026-06-18T13:38:37.398669+00:00,2026-06-18T13:38:47.854287+00:00,2026-06-18T13:39:55.106676+00:00,10,67,77,success
3,v8_3501,f08_sysval,ESP32-v3-virtual,0,v7_3501,2026-06-18T13:38:38.022986+00:00,2026-06-18T13:38:58.839938+00:00,2026-06-18T13:40:16.490513+00:00,20,77,98,success
3,v8_3103,f08_sysval,Local,1,v7_3102,2026-06-18T13:58:47.341253+00:00,2026-06-18T13:58:47.531800+00:00,2026-06-18T13:59:27.726344+00:00,0,40,40,failed
3,v7_3101,f07_modval,Local,1,v6_0001,2026-06-18T14:30:42.851249+00:00,2026-06-18T14:30:43.040234+00:00,2026-06-18T15:11:35.393793+00:00,0,2452,2452,success
3,v8_3101,f08_sysval,Local,1,v7_3101,2026-06-18T14:48:49.751045+00:00,2026-06-18T15:11:50.424375+00:00,2026-06-18T15:13:22.087569+00:00,1380,91,1472,success
3,v8_3102,f08_sysval,ESP32-v1,0,"v7_3101, v7_3301, v7_3501",2026-06-18T15:15:19.621035+00:00,2026-06-18T15:15:30.606498+00:00,2026-06-18T15:16:34.266810+00:00,10,63,74,success
0,v1_0000,f01_explore,GithubActions,2,,2026-06-22T14:57:34.594478+00:00,2026-06-22T14:57:53.441545+00:00,2026-06-22T15:01:19.182127+00:00,18,205,224,success
0,v2_0001,f02_events,GithubActions,2,v1_0000,2026-06-22T14:59:51.884629+00:00,2026-06-22T15:01:33.918581+00:00,2026-06-22T15:04:32.106820+00:00,102,178,280,success
0,v2_0002,f02_events,GithubActions,2,v1_0000,2026-06-22T14:59:53.203885+00:00,2026-06-22T15:01:43.758315+00:00,2026-06-22T15:04:53.455510+00:00,110,189,300,success
0,v2_0003,f02_events,GithubActions,2,v1_0000,2026-06-22T14:59:55.110975+00:00,2026-06-22T15:02:02.250834+00:00,2026-06-22T15:05:14.679983+00:00,127,192,319,success
0,v3_0002,f03_windows,GithubActions,2,v2_0002,2026-06-22T15:13:29.152622+00:00,,2026-06-22T15:13:56.487765+00:00,,,27,failed
0,v3_0003,f03_windows,GithubActions,2,v2_0003,2026-06-22T15:13:30.020802+00:00,2026-06-22T15:14:10.048760+00:00,2026-06-22T15:16:15.659901+00:00,40,125,165,success
0,v3_0006,f03_windows,GithubActions,2,v2_0003,2026-06-22T15:13:32.371547+00:00,2026-06-22T15:14:47.703524+00:00,2026-06-22T15:16:59.073056+00:00,75,131,206,success
0,v3_0005,f03_windows,GithubActions,2,v2_0002,2026-06-22T15:13:31.623632+00:00,2026-06-22T15:14:37.978591+00:00,2026-06-22T15:16:59.131329+00:00,66,141,207,success
0,v3_0004,f03_windows,GithubActions,2,v2_0001,2026-06-22T15:13:30.701056+00:00,2026-06-22T15:14:28.278810+00:00,2026-06-22T15:17:10.000987+00:00,57,161,219,success
0,v3_0001,f03_windows,GithubActions,2,v2_0001,2026-06-22T15:13:27.971116+00:00,2026-06-22T15:13:38.161574+00:00,2026-06-22T15:17:21.678007+00:00,10,223,233,success
0,v4_0001,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:35.080532+00:00,2026-06-22T15:23:53.095520+00:00,2026-06-22T15:25:59.763923+00:00,198,126,324,success
0,v4_0002,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:35.281867+00:00,2026-06-22T15:24:12.980832+00:00,2026-06-22T15:26:21.113724+00:00,217,128,345,success
0,v4_0004,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:35.772426+00:00,2026-06-22T15:24:41.280932+00:00,2026-06-22T15:26:32.261932+00:00,245,110,356,success
0,v4_0003,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:35.505714+00:00,2026-06-22T15:24:31.466515+00:00,2026-06-22T15:26:43.565589+00:00,235,132,368,success
0,v4_0006,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:36.171426+00:00,2026-06-22T15:25:10.519557+00:00,2026-06-22T15:27:05.443951+00:00,274,114,389,success
0,v4_0005,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:35.972069+00:00,2026-06-22T15:24:51.127504+00:00,2026-06-22T15:27:05.500757+00:00,255,134,389,success
0,v4_0008,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:36.577018+00:00,2026-06-22T15:25:39.388492+00:00,2026-06-22T15:27:38.159280+00:00,302,118,421,success
0,v4_0007,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:36.378616+00:00,2026-06-22T15:25:21.051603+00:00,2026-06-22T15:27:48.887917+00:00,284,147,432,success
0,v4_0009,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:36.778393+00:00,2026-06-22T15:25:58.008230+00:00,2026-06-22T15:27:59.731486+00:00,321,121,442,success
0,v4_0012,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:37.391141+00:00,2026-06-22T15:26:45.010390+00:00,2026-06-22T15:28:43.645978+00:00,367,118,486,success
0,v4_0011,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:37.184505+00:00,2026-06-22T15:26:26.607840+00:00,2026-06-22T15:28:43.711528+00:00,349,137,486,success
0,v4_0010,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:36.981047+00:00,2026-06-22T15:26:16.834184+00:00,2026-06-22T15:28:55.015227+00:00,339,158,498,success
0,v4_0013,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:37.598155+00:00,2026-06-22T15:26:55.598428+00:00,2026-06-22T15:29:18.009506+00:00,378,142,520,success
0,v4_0014,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:37.806969+00:00,2026-06-22T15:27:14.136206+00:00,2026-06-22T15:29:18.214936+00:00,396,124,520,success
0,v4_0015,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:38.015129+00:00,2026-06-22T15:27:24.023856+00:00,2026-06-22T15:29:40.020999+00:00,406,135,542,success
0,v4_0016,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:38.226942+00:00,2026-06-22T15:27:42.378817+00:00,2026-06-22T15:29:51.220550+00:00,424,128,552,success
0,v4_0017,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:38.439984+00:00,2026-06-22T15:28:02.451613+00:00,2026-06-22T15:30:35.615617+00:00,444,153,597,success
0,v4_0020,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:39.097590+00:00,2026-06-22T15:28:31.668721+00:00,2026-06-22T15:30:35.670781+00:00,472,124,596,success
0,v4_0018,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:38.662911+00:00,2026-06-22T15:28:12.086898+00:00,2026-06-22T15:30:47.217709+00:00,453,155,608,success
0,v4_0019,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:38.880713+00:00,2026-06-22T15:28:22.022476+00:00,2026-06-22T15:30:58.316722+00:00,463,156,619,success
0,v4_0021,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:39.665149+00:00,2026-06-22T15:28:41.646615+00:00,2026-06-22T15:31:09.288161+00:00,481,147,629,success
0,v4_0022,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:39.858107+00:00,2026-06-22T15:28:51.623818+00:00,2026-06-22T15:31:20.649936+00:00,491,149,640,success
0,v4_0023,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:40.141098+00:00,2026-06-22T15:29:05.027947+00:00,2026-06-22T15:31:20.708147+00:00,504,135,640,success
0,v4_0025,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:40.632038+00:00,2026-06-22T15:29:44.264715+00:00,2026-06-22T15:31:53.665956+00:00,543,129,673,success
0,v4_0024,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:40.415136+00:00,2026-06-22T15:29:25.287548+00:00,2026-06-22T15:31:53.667032+00:00,524,148,673,success
0,v4_0027,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:41.140605+00:00,2026-06-22T15:30:05.364749+00:00,2026-06-22T15:32:26.284080+00:00,564,140,705,success
0,v4_0028,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:41.447639+00:00,2026-06-22T15:30:15.066574+00:00,2026-06-22T15:32:37.345497+00:00,573,142,715,success
0,v4_0026,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:40.887786+00:00,2026-06-22T15:29:54.733360+00:00,2026-06-22T15:32:48.679429+00:00,553,173,727,success
0,v4_0032,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:43.682408+00:00,2026-06-22T15:31:13.877478+00:00,2026-06-22T15:33:00.068886+00:00,630,106,736,success
0,v4_0031,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:42.445707+00:00,2026-06-22T15:30:53.824402+00:00,2026-06-22T15:33:21.735392+00:00,611,147,759,success
0,v4_0030,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:42.120267+00:00,2026-06-22T15:30:43.798455+00:00,2026-06-22T15:33:33.590668+00:00,601,169,771,success
0,v4_0029,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:41.804109+00:00,2026-06-22T15:30:24.958935+00:00,2026-06-22T15:33:44.628172+00:00,583,199,782,success
0,v4_0033,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:44.019112+00:00,2026-06-22T15:31:32.282639+00:00,2026-06-22T15:33:44.627930+00:00,648,132,780,success
0,v4_0036,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:44.734058+00:00,2026-06-22T15:32:21.190061+00:00,2026-06-22T15:34:19.825633+00:00,696,118,815,success
0,v4_0038,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:45.412724+00:00,2026-06-22T15:32:51.614484+00:00,2026-06-22T15:34:41.817433+00:00,726,110,836,success
0,v4_0037,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:45.035736+00:00,2026-06-22T15:32:31.108195+00:00,2026-06-22T15:34:52.692024+00:00,706,141,847,success
0,v4_0035,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:44.501922+00:00,2026-06-22T15:32:02.049867+00:00,2026-06-22T15:34:52.812677+00:00,677,170,848,success
0,v4_0041,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:46.204357+00:00,2026-06-22T15:33:39.819360+00:00,2026-06-22T15:35:49.368565+00:00,773,129,903,success
0,v4_0040,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:45.941806+00:00,2026-06-22T15:33:20.539078+00:00,2026-06-22T15:35:49.370191+00:00,754,148,903,success
0,v4_0042,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:46.452045+00:00,2026-06-22T15:33:52.249214+00:00,2026-06-22T15:36:01.121195+00:00,785,128,914,success
0,v4_0039,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:45.683172+00:00,2026-06-22T15:33:10.482155+00:00,2026-06-22T15:36:01.260997+00:00,744,170,915,success
0,v4_0044,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:46.973580+00:00,2026-06-22T15:34:30.957016+00:00,2026-06-22T15:36:34.128020+00:00,823,123,947,success
0,v4_0043,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:46.693099+00:00,2026-06-22T15:34:12.089499+00:00,2026-06-22T15:36:45.360712+00:00,805,153,958,success
0,v4_0045,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:47.237078+00:00,2026-06-22T15:34:49.919875+00:00,2026-06-22T15:36:45.578984+00:00,842,115,958,success
0,v4_0046,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:47.523116+00:00,2026-06-22T15:35:09.667333+00:00,2026-06-22T15:37:32.369717+00:00,862,142,1004,success
0,v4_0047,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:47.775988+00:00,2026-06-22T15:35:27.879356+00:00,2026-06-22T15:37:32.470567+00:00,880,124,1004,success
0,v4_0048,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:48.037651+00:00,2026-06-22T15:35:46.599108+00:00,2026-06-22T15:37:32.471491+00:00,898,105,1004,success
0,v4_0050,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:48.614404+00:00,2026-06-22T15:36:27.176432+00:00,2026-06-22T15:38:07.825745+00:00,938,100,1039,success
0,v4_0049,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:48.316758+00:00,2026-06-22T15:36:06.280156+00:00,2026-06-22T15:38:07.825989+00:00,917,121,1039,success
0,v4_0051,f04_targets,GithubActions,2,v3_0003,2026-06-22T15:20:48.879937+00:00,2026-06-22T15:36:46.858445+00:00,2026-06-22T15:38:41.907261+00:00,957,115,1073,success
0,v4_0053,f04_targets,GithubActions,2,v3_0002,2026-06-22T15:20:49.449074+00:00,2026-06-22T15:37:21.479123+00:00,2026-06-22T15:39:14.896176+00:00,992,113,1105,success
0,v4_0052,f04_targets,GithubActions,2,v3_0001,2026-06-22T15:20:49.154795+00:00,2026-06-22T15:37:11.059275+00:00,2026-06-22T15:39:26.826920+00:00,981,135,1117,success
0,v4_0055,f04_targets,GithubActions,2,v3_0004,2026-06-22T15:20:50.003990+00:00,2026-06-22T15:37:46.031225+00:00,2026-06-22T15:39:37.755256+00:00,1016,111,1127,success
